date	day_of_week	brand	cnt
1	3	1	20
1	3	5	48
2	4	1	16
2	4	3	20
3	5	1	1411
3	5	2	811
3	5	3	1005
3	5	4	773
3	5	5	1565
4	6	1	1176
4	6	2	824
4	6	3	802
4	6	4	1057
4	6	5	1107
5	7	1	812
5	7	2	549
5	7	3	579
5	7	4	759
5	7	5	647
6	1	1	889
6	1	2	545
6	1	3	599
6	1	4	725
6	1	5	638
7	2	1	893
7	2	2	618
7	2	3	642
7	2	4	1298
7	2	5	695
8	3	1	569
8	3	2	532
8	3	3	674
8	3	4	648
8	3	5	673
9	4	1	623
9	4	2	441
9	4	3	510
9	4	4	554
9	4	5	585
10	5	1	470
10	5	2	418
10	5	3	321
10	5	4	459
10	5	5	741
11	6	1	87
11	6	2	32
11	6	3	27
11	6	5	129
12	1	1	575
12	1	2	393
12	1	3	321
12	1	4	725
12	1	5	721
13	2	1	544
13	2	2	412
13	2	3	187
13	2	4	574
13	2	5	669
14	3	1	305
14	3	2	384
14	3	3	249
14	3	4	507
14	3	5	456
15	4	1	735
15	4	2	1824
15	4	3	1235
15	4	4	598
15	4	5	1680
16	5	1	627
16	5	2	570
16	5	3	428
16	5	4	411
16	5	5	680
17	6	1	65
17	6	2	95
17	6	4	30
17	6	5	26
18	7	5	22
19	1	1	819
19	1	2	646
19	1	3	449
19	1	4	918
19	1	5	1071
20	2	1	610
20	2	2	380
20	2	3	428
20	2	4	664
20	2	5	618
21	3	1	447
21	3	2	473
21	3	3	549
21	3	4	366
21	3	5	865
22	4	1	447
22	4	2	372
22	4	3	431
22	4	4	332
22	4	5	491
23	5	1	192
23	5	2	304
23	5	3	321
23	5	4	556
23	5	5	329
24	6	1	22
24	6	2	48
24	6	3	80
24	6	4	30
24	6	5	51
25	1	1	767
25	1	2	532
25	1	3	385
25	1	4	725
25	1	5	968
26	2	1	697
26	2	2	523
26	2	3	695
26	2	4	483
26	2	5	618
27	3	1	508
27	3	2	577
27	3	3	449
27	3	4	451
27	3	5	601
28	4	1	224
28	4	2	186
28	4	3	372
28	4	4	266
28	4	5	604
29	5	1	523
29	5	2	456
29	5	3	556
29	5	4	676
29	5	5	515
30	6	1	44
30	6	2	63
30	6	4	121
30	6	5	51
31	7	3	23
32	1	1	802
32	1	2	659
32	1	3	620
32	1	4	942
32	1	5	1071
33	2	1	871
33	2	2	602
33	2	3	642
33	2	4	966
33	2	5	978
34	3	1	976
34	3	2	532
34	3	3	399
34	3	4	705
34	3	5	1129
35	4	1	479
35	4	2	430
35	4	3	255
35	4	4	686
35	4	5	717
36	5	1	174
36	5	2	177
36	5	3	128
36	5	4	97
36	5	5	185
37	4	5	19
38	5	2	13
39	6	1	762
39	6	2	364
39	6	3	401
39	6	4	574
39	6	5	746
40	7	1	812
40	7	2	343
40	7	3	394
40	7	4	785
40	7	5	602
41	1	1	488
41	1	2	304
41	1	3	428
41	1	4	725
41	1	5	432
42	2	1	348
42	2	2	238
42	2	3	241
42	2	4	604
42	2	5	309
43	3	1	468
43	3	2	562
43	3	3	449
43	3	4	676
43	3	5	408
44	4	1	351
44	4	2	290
44	4	3	157
44	4	4	664
44	4	5	434
45	5	1	418
45	5	2	279
45	5	3	128
45	5	4	459
45	5	5	268
46	6	2	16
46	6	3	53
46	6	4	91
46	6	5	26
47	1	1	592
47	1	2	304
47	1	3	171
47	1	4	580
47	1	5	227
48	2	1	436
48	2	2	396
48	2	3	267
48	2	4	513
48	2	5	232
49	3	1	590
49	3	2	310
49	3	3	200
49	3	4	507
49	3	5	312
50	4	1	208
50	4	2	232
50	4	3	98
50	4	4	332
50	4	5	321
51	5	1	314
51	5	2	342
51	5	3	321
51	5	4	386
51	5	5	453
52	6	3	27
52	6	4	60
53	1	1	401
53	1	2	266
53	1	3	321
53	1	4	628
53	1	5	227
54	2	1	544
54	2	2	206
54	2	3	294
54	2	4	393
54	2	5	463
55	3	1	468
55	3	2	266
55	3	3	150
55	3	4	395
55	3	5	336
56	4	1	335
56	4	2	244
56	4	3	157
56	4	4	310
56	4	5	415
57	5	1	261
57	5	2	228
57	5	3	299
57	5	4	314
57	5	5	412
58	6	1	44
58	6	2	32
58	6	3	53
58	6	5	51
59	7	1	19
59	7	5	22
60	1	1	732
60	1	2	329
60	1	3	235
60	1	4	266
60	1	5	371
61	2	1	436
61	2	2	253
61	2	3	241
61	2	4	393
61	2	5	489
62	3	1	407
62	3	2	237
62	3	3	200
62	3	4	535
62	3	5	384
63	4	1	303
63	4	2	314
63	4	3	176
63	4	4	310
63	4	5	283
64	5	1	261
64	5	2	342
64	5	3	171
64	5	4	242
64	5	5	329
65	6	3	27
65	6	4	60
65	6	5	26
66	1	1	470
66	1	2	317
66	1	3	257
66	1	4	362
66	1	5	391
67	2	1	457
67	2	2	380
67	2	3	294
67	2	4	423
67	2	5	335
68	3	1	346
68	3	2	399
68	3	3	150
68	3	4	310
68	3	5	240
69	4	1	367
69	4	2	348
69	4	3	157
69	4	4	221
69	4	5	359
70	5	1	418
70	5	2	342
70	5	3	235
70	5	4	193
70	5	5	371
71	6	1	44
71	6	2	16
71	6	3	27
71	6	4	60
71	6	5	51
72	1	1	401
72	1	2	291
72	1	3	235
72	1	4	338
72	1	5	474
73	2	1	479
73	2	2	285
73	2	3	294
73	2	4	453
73	2	5	283
74	3	1	305
74	3	2	444
74	3	3	125
74	3	4	254
74	3	5	336
75	4	1	240
75	4	2	232
75	4	3	176
75	4	4	310
75	4	5	321
76	5	1	227
76	5	2	444
76	5	3	235
76	5	4	242
76	5	5	453
77	6	1	22
77	6	2	32
77	6	4	91
77	6	5	26
78	7	5	22
79	1	1	157
79	1	2	215
79	1	3	107
79	1	4	121
79	1	5	144
80	2	1	501
80	2	2	507
80	2	3	401
80	2	4	423
80	2	5	592
81	3	1	366
81	3	2	429
81	3	3	249
81	3	4	338
81	3	5	577
82	4	1	16
82	4	4	44
83	5	1	17
83	5	2	13
83	5	5	21
84	6	4	30
85	7	1	415
85	7	2	398
85	7	3	232
85	7	4	393
85	7	5	491
86	1	1	453
86	1	2	329
86	1	3	171
86	1	4	483
86	1	5	309
87	2	1	327
87	2	2	348
87	2	3	428
87	2	4	242
87	2	5	798
88	3	1	264
88	3	2	325
88	3	3	225
88	3	4	366
88	3	5	529
89	4	1	112
89	4	2	360
89	4	3	235
89	4	4	266
89	4	5	321
90	5	1	279
90	5	2	355
90	5	3	171
90	5	4	290
90	5	5	432
91	6	2	32
91	6	3	80
91	6	4	60
91	6	5	26
92	1	1	488
92	1	2	469
92	1	3	364
92	1	4	266
92	1	5	577
93	2	1	523
93	2	2	253
93	2	3	241
93	2	4	151
93	2	5	463
94	3	1	346
94	3	2	429
94	3	3	225
94	3	4	282
94	3	5	577
95	4	1	367
95	4	2	337
95	4	3	137
95	4	4	266
95	4	5	340
96	5	1	314
96	5	2	291
96	5	3	235
96	5	4	242
96	5	5	432
97	6	1	22
97	6	2	32
97	6	3	53
97	6	4	30
98	7	2	14
98	7	5	22
99	1	1	540
99	1	2	444
99	1	3	257
99	1	4	266
99	1	5	597
100	2	1	261
100	2	2	364
100	2	3	267
100	2	4	332
100	2	5	360
101	3	1	244
101	3	2	296
101	3	3	324
101	3	4	225
101	3	5	360
102	4	1	319
102	4	2	232
102	4	3	157
102	4	4	111
102	4	5	283
103	5	1	314
103	5	2	317
103	5	3	321
103	5	4	266
103	5	5	556
104	6	1	131
104	6	2	539
104	6	3	160
104	6	4	272
104	6	5	360
105	7	1	245
105	7	2	206
105	7	3	185
105	7	4	209
105	7	5	781
106	1	1	35
106	1	2	38
107	4	1	607
107	4	2	337
107	4	3	431
107	4	4	354
107	4	5	755
108	5	1	488
108	5	2	393
108	5	3	192
108	5	4	362
108	5	5	288
109	6	2	48
109	6	4	30
109	6	5	26
110	1	1	488
110	1	2	431
110	1	3	428
110	1	4	483
110	1	5	597
111	2	1	544
111	2	2	380
111	2	3	481
111	2	4	513
111	2	5	669
112	3	1	468
112	3	2	355
112	3	3	374
112	3	4	254
112	3	5	769
113	4	1	303
113	4	2	163
113	4	3	235
113	4	4	177
113	4	5	264
114	5	1	261
114	5	2	482
114	5	3	321
114	5	4	314
114	5	5	556
115	6	1	22
115	6	2	48
115	6	5	51
116	7	3	23
117	1	1	348
117	1	2	659
117	1	3	449
117	1	4	435
117	1	5	618
118	2	1	414
118	2	2	459
118	2	3	508
118	2	4	362
118	2	5	541
119	3	1	346
119	3	2	547
119	3	3	449
119	3	4	197
119	3	5	529
120	4	1	176
120	4	2	244
120	4	3	176
120	4	4	133
120	4	5	359
121	5	1	505
121	5	2	380
121	5	3	299
121	5	4	290
121	5	5	556
122	6	1	22
122	6	2	16
123	1	1	366
123	1	2	444
123	1	3	257
123	1	4	338
123	1	5	535
124	2	1	370
124	2	2	570
124	2	3	401
124	2	4	332
124	2	5	669
125	3	1	488
125	3	2	2070
125	3	3	898
125	3	4	395
125	3	5	1730
126	4	1	176
126	4	2	953
126	4	3	372
126	4	4	266
126	4	5	566
127	5	1	174
127	5	2	710
127	5	3	192
127	5	4	217
127	5	5	638
128	6	2	32
128	6	3	27
128	6	4	30
128	6	5	51
129	1	1	401
129	1	2	393
129	1	3	278
129	1	4	290
129	1	5	432
130	2	1	436
130	2	2	412
130	2	3	347
130	2	4	242
130	2	5	618
131	3	1	183
131	3	2	414
131	3	3	399
131	3	4	254
131	3	5	408
132	4	1	240
132	4	2	290
132	4	3	255
132	4	4	221
132	4	5	491
